Artist,CountryRegion,Role,BriefArtistIntroEnglish,BriefArtistIntroChinese,Source
八三夭乐团 (831),"Taiwan, China",band,"Taiwanese rock band formed in 2003. Their sound is energetic pop-rock with catchy hooks and anthemic choruses. They entered the mainstream in the late 2000s with support from Mayday and later developed a distinct identity with hits like ""The Last 831"" (2014) and ""Stay at Home"" (2019). Their music is youthful, celebratory, and tinged with nostalgic sentiment.",台湾摇滚乐队，成立于2003年，音乐充满活力的流行摇滚风格，旋律抓耳、副歌适合大合唱。2000年代末在五月天的支持下进入主流视野，后以《最后的831》（2014）和《想见你想见你想见你》（2019）等金曲确立独立风格。音乐充满青春气息、欢快明亮，常带怀旧色彩。,https://www.google.com/search?q=%E5%85%AB%E4%B8%89%E5%A4%AD%E4%B9%90%E5%9B%A2+(831)+singer+biography
八三夭阿璞 (A Pu),"Taiwan, China",singer,"Taiwanese singer and lead vocalist of 831 since its founding in 2003. His voice is raw and emotive, and his stage presence is energetic. As the band's primary songwriter, he crafts lyrics that capture the intensity of youth, love, and defiance. His vocal texture conveys vulnerability and strength in equal measure.",台湾歌手，摇滚乐队八三夭（831）自2003年成立以来的主唱。嗓音原始粗犷、情感充沛，舞台表现充满活力。作为乐队主要词曲作者，歌词捕捉了青春的激烈、爱与叛逆。嗓音具有独特的质感，脆弱与力量并存。,https://www.google.com/search?q=%E5%85%AB%E4%B8%89%E5%A4%AD%E9%98%BF%E7%92%9E+(A+Pu)+singer+biography
凡清 (Fanish) (Fanish),China,singer,"Chinese singer-songwriter who gained recognition through The Voice of China in 2021. Her music features a powerful, emotionally resonant vocal style and personal, confessional lyrics. She draws from pop, folk, and electronic influences to create a sound that is both contemporary and introspective.",中国创作型歌手，2021年因参加《中国好声音》而获得关注。音乐以极具力量感的情感嗓音和个人化的自白式歌词为特征。融合流行、民谣与电子元素，创造出既具当代感又充满内省的音乐风格。,https://www.google.com/search?q=%E5%87%A1%E6%B8%85+(Fanish)+singer+biography
凤凰传奇 (Phoenix Legend),Chinese,duo,"Chinese musical duo formed in 1998, consisting of female vocalist Yangwei Linghua and male rapper Zeng Yi. One of China's most commercially successful pop acts, they are known for their high-energy, folk-infused pop that blends traditional Chinese melodies with modern electronic beats and hip-hop elements. Hits include ""The Most Dazzling National Style"" (2009) and ""Moonlight on the Lotus Pond"" (2010).",中国音乐组合，成立于1998年，由女主唱杨魏玲花和男说唱曾毅组成。中国最具商业价值的流行组合之一，音乐高能量、融入民族元素，将传统中国旋律与现代电子节拍及嘻哈元素相结合。代表作包括《最炫民族风》（2009）和《荷塘月色》（2010）。,https://en.wikipedia.org/wiki/Phoenix_Legend
刘佳琪 (Liu Jiaqi),China,singer,"Chinese singer who gained recognition through The Voice of China in the late 2010s. Her voice is warm and emotive, with accessible Mandopop melodies. She has built a steady following through live performances and streaming platforms.",中国歌手，2010年代末因参加《中国好声音》而获得关注。嗓音温暖感性，旋律易入耳，此后通过现场演出和流媒体平台积累了稳定的听众群体。,https://www.google.com/search?q=%E5%88%98%E4%BD%B3%E7%90%AA+(Liu+Jiaqi)+singer+biography
刘惜君 (Liu Xijun),China,singer,"Chinese singer who rose to fame after finishing among the top five on Super Girl in 2009. Her voice is clean and pure, and her style is emotive balladry. She has released multiple albums and contributed extensively to television drama soundtracks. Hits include ""I'm Just a Child"" and numerous theme songs for popular Chinese dramas.",中国歌手，2009年因在《快乐女声》中获得全国五强而走红。嗓音干净清纯，演绎抒情歌曲时情感充沛，已发行多张专辑并为多部热播电视剧演唱主题曲。代表作包括《我很快乐》及多部电视剧主题曲。,https://www.google.com/search?q=%E5%88%98%E6%83%9C%E5%90%9B+(Liu+Xijun)+singer+biography
剑网3 (JX3),China,game company,"Chinese game company behind the massively popular MMORPG Jianwang 3, first released in 2009. The game has since expanded into a multimedia entertainment universe, producing official music projects, character theme songs, and fan-driven musical content that blends gufeng melodies with contemporary pop production. The game's music ecosystem has become a significant cultural phenomenon.",中国游戏公司，旗下热门大型多人在线角色扮演游戏《剑网3》于2009年首次发布。此后该游戏拓展为多媒体娱乐版图，制作了大量官方音乐项目、角色主题曲及粉丝驱动的音乐内容，融合古风旋律与当代流行制作，其音乐生态已成为重要的文化现象。,https://www.google.com/search?q=%E5%89%91%E7%BD%913+(JX3)+singer+biography
华晨宇 (Hua Chenyu),Chinese,singer-songwriter,"Chinese singer-songwriter who won Super Boy in 2013 at age 23. His vocal style is distinctive, and his stage presence is theatrical. His music blends pop, rock, electronic, and experimental elements, characterized by wide vocal leaps and intense emotional delivery. He gained wider recognition through Singer in 2018.",中国创作型歌手，2013年以23岁之龄获得《快乐男声》全国总冠军而出道。嗓音极具辨识度，舞台表现充满戏剧张力。音乐融合流行、摇滚、电子及实验元素，以宽广的音域跳跃和强烈的情感表达见长。2018年通过《歌手》节目获得更广泛的关注。,https://en.wikipedia.org/wiki/Hua_Chenyu
单依纯 (Shan Yichun),China,singer,"Chinese singer who won The Voice of China in 2020 at age 18, one of the youngest winners in the show's history. Her voice is soulful and mature beyond her years, with natural vibrato and rich tone. She is known for emotionally nuanced interpretations of ballads and pop standards.",中国歌手，2020年以18岁之龄获得《中国好声音》年度总冠军，成为该节目历史上最年轻的冠军之一。嗓音深情成熟，颤音自然、音色丰富，超越年龄的音乐表现力备受赞誉。对抒情歌曲和流行标准的诠释细腻入微。,https://baike.baidu.com/item/%E5%8D%95%E4%BE%9D%E7%BA%AF/53548167
南征北战NZBZ (NZBZ),China,band,"Chinese band formed in 2012. Their sound is high-energy hip-hop and rock fusion, blending rap, electronic beats, and anthemic choruses. They have contributed extensively to Chinese film and television soundtracks, including theme songs for major action and sports films. Their music is characterized by motivational lyrics and aggressive, upbeat production.",中国乐队，成立于2012年，音乐以高能量的嘻哈与摇滚融合见长，融合说唱、电子节拍和颂歌式副歌。为多部中国电影及电视剧创作配乐，包括大型动作片和体育电影主题曲。音乐以励志歌词和强劲有力的制作风格为特征。,https://www.google.com/search?q=%E5%8D%97%E5%BE%81%E5%8C%97%E6%88%98NZBZ+(NZBZ)+singer+biography
古巨基 (Leo Ku),Hong Kong,singer and screen performer,"Hong Kong Cantopop and Mandopop singer, actor, and TV host who debuted in 1994. His voice is smooth and tender, and his style is romantic ballads. He has released numerous albums across Cantonese and Mandarin. He gained wider international recognition through his role in My Fair Princess (1998-1999). He is also founder of ChillGOOD TV.",香港粤语及华语流行歌手、演员及电视主持人，1994年出道。嗓音温柔流畅，擅长浪漫情歌，发行了多张粤语及国语专辑。1998至1999年因在热播电视剧《还珠格格》中饰演何书桓而获得更广泛的国际认可。他也是ChillGOOD TV的创始人。,https://en.wikipedia.org/wiki/Leo_Ku
司夏 (Sixia),China,singer,"Chinese singer active in the gufeng and fantasy music scene since the 2010s. Her voice is ethereal and flowing, well-suited to xianxia and wuxia storytelling. She has contributed vocals to game soundtracks, character songs, and online music projects, building a dedicated following within the digital music community.",中国歌手，自2010年代以来活跃于古风与玄幻音乐领域。嗓音空灵流畅，善于诠释仙侠与武侠题材。曾为游戏配乐、角色歌曲及线上音乐项目献声，在数字音乐社群中积累了忠实的听众群体。,https://www.google.com/search?q=%E5%8F%B8%E5%A4%8F+(Sixia)+singer+biography
后海大鲨鱼 (Queen Sea Big Shark),China,band,"Chinese indie rock band formed in 2004. Their sound is raw, energetic, and rhythm-driven, influenced by garage rock, new wave, and surf rock. Led by charismatic female vocalist Fu Han, they are one of the most iconic bands in China's underground rock scene. They have released multiple albums since the mid-2000s and remain influential in the indie circuit.",中国独立摇滚乐队，成立于2004年，受车库摇滚、新浪潮和冲浪摇滚影响。由富有魅力的女主唱付菡领衔，音乐原始、充满活力且节奏驱动，是中国地下摇滚场景中最具标志性的乐队之一。自2000年代中期以来已发行多张专辑，在独立音乐圈中仍具影响力。,https://www.google.com/search?q=%E5%90%8E%E6%B5%B7%E5%A4%A7%E9%B2%A8%E9%B1%BC+(Queen+Sea+Big+Shark)+singer+biography
吕方 (David Lui),China,singer,"Hong Kong-based singer who rose to fame in the 1980s with his warm, smooth vocal style and romantic ballads. He won the New Talent Singing Awards in 1983 and has since released numerous Cantopop and Mandopop hits. Known for his gentle stage presence and timeless love songs, he remains a beloved figure in the Cantopop golden era.",香港歌手，1980年代以温暖流畅的嗓音和浪漫情歌走红。1983年获得新秀歌唱大赛冠军，此后发行了多首粤语及华语流行金曲。舞台形象温柔，经典情歌传唱至今，是粤语流行乐黄金时代深受喜爱的标志性人物。,https://www.google.com/search?q=%E5%90%95%E6%96%B9+(David+Lui)+singer+biography
吴莫愁 (Momo Wu),China,singer,"Chinese singer who rose to fame as the runner-up of The Voice of China in 2012. Her vocal style is bold and unconventional, with a distinctive raspy, powerful delivery. Her music blends pop, R&B, and electronic influences. She is recognized for her fashion-forward image and willingness to push artistic boundaries.",中国歌手，2012年因获得《中国好声音》全国亚军而走红。嗓音风格大胆、非传统，沙哑而富有力量感。音乐融合流行、R&B及电子元素。以前卫时尚的形象和勇于突破艺术边界的尝试受到关注。,https://www.google.com/search?q=%E5%90%B4%E8%8E%AB%E6%84%81+(Momo+Wu)+singer+biography
告五人 (Accusefive),Taiwanese,band,"Taiwanese indie rock band formed in 2017 in Yilan County, consisting of Pan Yun-an, Tsai Hsin-lun, and Richard Lin. Their sound is laid-back, melodic indie with folk and pop sensibilities. They have rapidly become one of the most popular indie bands in the Mandopop scene. Hits include ""Waves"" and ""Something I Don't Need"".",台湾独立摇滚乐队，2017年成立于宜兰县，成员包括潘云安、蔡欣伦和林哲谦。音乐轻松舒缓、旋律性强，融合民谣与流行元素，迅速成为华语乐坛最受欢迎的独立乐队之一。代表作包括《海浪》和《我肯定在几百年前就说过爱你》。,https://en.wikipedia.org/wiki/Accusefive
周云蓬 (Zhou Yunpeng),China,singer,"Chinese folk singer and poet who has been blind since childhood. Active since the 1990s, his music features poetic, deeply introspective lyrics and a gentle, melancholic vocal style. He is a leading figure in China's independent folk scene, known for his literary approach to songwriting. His albums include The Silent Orchestra (2004) and The Promise of the Chinese Dream (2007).",中国民谣歌手及诗人，自幼失明。自1990年代起活跃，歌词诗意而深具内省色彩，嗓音温柔忧郁。中国独立民谣场景的领军人物，创作手法极具文学性。专辑包括《沉默如谜的呼吸》（2004）和《中国孩子》（2007）。,https://www.google.com/search?q=%E5%91%A8%E4%BA%91%E8%93%AC+(Zhou+Yunpeng)+singer+biography
周杰伦 (Jay Chou),Taiwanese,singer-songwriter and producer,"Taiwanese singer-songwriter and producer, widely regarded as the ""King of Mandopop"". He released his debut album in 2000, blending R&B, hip-hop, classical Chinese elements, and pop into a relaxed yet highly recognizable sound. He has sold over 30 million albums worldwide, won numerous Golden Melody Awards, and influenced generations of Asian pop artists. Hits include ""Simple Love"" (2001) and ""Blue and White Porcelain"" (2007).","台湾创作型歌手及制作人，被公认为华语流行乐天王""。2000年发行首张专辑，将R&B、嘻哈、中国古典元素与流行音乐融合，创造出轻松而极具辨识度的音乐风格。全球专辑销量超3000万张，多次获得金曲奖，影响了几代亚洲流行音乐人。代表作包括《简单爱》（2001）和《青花瓷》（2007）。""",https://en.wikipedia.org/wiki/Jay_Chou
周深 (Zhou Shen),Chinese,singer,"Chinese singer with an ethereal, crystal-clear voice and extraordinary vocal range that blurs gender lines. He gained recognition through The Voice of China in 2014 and has since become one of the most sought-after vocalists in Mandopop. His music spans pop, classical crossover, and film soundtracks, including songs for Big Fish & Begonia (2016) and The Wandering Earth 2 (2023).",中国歌手，嗓音空灵清澈，音域跨越性别界限，极为罕见。2014年通过《中国好声音》获得关注，此后成为华语乐坛最受欢迎的歌手之一。音乐涵盖流行、古典跨界及电影配乐，代表作包括《大鱼海棠》（2016）和《流浪地球2》（2023）的配乐。,https://en.wikipedia.org/wiki/Zhou_Shen
周笔畅 (Bibi Zhou),Chinese,singer-songwriter,"Chinese singer-songwriter who rose to fame as the runner-up of Super Girl in 2005. Her voice is distinctive and slightly husky, with R&B-influenced Mandopop style. She has released over 10 albums since her debut. Her music blends pop, R&B, and electronic elements with introspective, personal lyrics. She has also pursued acting and voice acting.",中国创作型歌手，2005年因获得《超级女声》全国亚军而走红。嗓音独特、略带沙哑，风格融入R&B元素。出道以来已发行超过10张专辑。音乐融合流行、R&B及电子元素，歌词内省而个人化。她也涉足影视表演和配音领域。,https://en.wikipedia.org/wiki/Bibi_Zhou
周菲戈 (Zhou Feige),China,singer,"Chinese singer who gained recognition through The Voice of China in 2022. His vocal delivery is powerful and soulful, with a pop-R&B sensibility. He has built a growing following through live performances and streaming platforms.",中国歌手，2022年因参加《中国好声音》而获得关注。嗓音充满力量、富有灵魂质感，风格偏向流行R&B。此后通过现场演出和流媒体平台积累了持续增长的听众群体。,https://www.google.com/search?q=%E5%91%A8%E8%8F%B2%E6%88%88+(Zhou+Feige)+singer+biography
呼和图拉嘎 (Huhe Tulaga),China,singer,"Chinese singer of Mongolian descent. His voice is deep and resonant, and he incorporates traditional Mongolian musical elements into contemporary pop. Active since the 2010s, he has gained recognition for his unique timbre and ability to blend ethnic folk traditions with modern arrangements.",中国蒙古族歌手，嗓音低沉浑厚，擅长将传统蒙古音乐元素融入当代流行音乐。自2010年代以来活跃，独特的音色和将民族民间传统与现代编曲相结合的能力备受认可。,https://www.google.com/search?q=%E5%91%BC%E5%92%8C%E5%9B%BE%E6%8B%89%E5%98%8E+(Huhe+Tulaga)+singer+biography
唐汉霄 (Tang Hanxiao),China,singer,"Chinese singer-songwriter and producer who gained prominence in the late 2010s through his work on Chinese film and television soundtracks. His vocal delivery is emotive, with a pop-rock sensibility. He has written and produced for numerous major artists and has appeared as a contestant on The Voice of China.",中国创作型歌手及制作人，2010年代末期因参与中国电影及电视剧配乐创作而崭露头角。嗓音情感充沛，风格偏向流行摇滚。曾为多位知名艺人创作及制作歌曲，也曾作为选手参加《中国好声音》。,https://www.google.com/search?q=%E5%94%90%E6%B1%89%E9%9C%84+(Tang+Hanxiao)+singer+biography
唐禹哲 (Danson Tang),Taiwanese,singer and screen performer,"Taiwanese singer and actor who debuted in the mid-2000s. His voice is smooth and tender, and his style is romantic ballads. He has released multiple Mandopop albums and gained wider recognition through his acting roles in Taiwanese dramas, including Hanazakarino Kimitachihe (2006) and The Legend of Brown Sugar Chivalry (2007).",台湾歌手及演员，2000年代中期出道。嗓音温柔流畅，擅长浪漫情歌，已发行多张华语流行专辑。通过出演台湾偶像剧获得更广泛认可，包括《花样少年少女》（2006）和《黑糖玛奇朵》（2007）。,https://www.google.com/search?q=%E5%94%90%E7%A6%B9%E5%93%B2+(Danson+Tang)+singer+biography
大张伟 (Wowkie Zhang),Chinese,singer-songwriter,"Chinese singer-songwriter and entertainer. His music is playful, high-energy pop-rock with fast-paced hooks, humorous lyrics, and infectious melodies. He first gained fame as the lead vocalist of The Flowers in the late 1990s before launching a solo career in the 2000s. He is also a popular TV host and variety show personality.",中国创作型歌手及艺人，音乐活泼、高能量，以快节奏的旋律、幽默的歌词和洗脑的旋律见长。1990年代末作为花儿乐队主唱出道，2000年代后开始个人发展。也是受欢迎的电视主持人和综艺明星。,https://en.wikipedia.org/wiki/Wowkie_Zhang
姚晓棠 (Yao Xiaotang),China,singer,"Chinese singer who gained recognition through The Voice of China in 2021. Her voice is clear and emotive, and her style leans toward ballads and pop standards. She has released original singles and built a following through live performances and digital platforms.",中国歌手，2021年因参加《中国好声音》而获得关注。嗓音清亮、情感充沛，音乐偏向抒情歌曲和流行标准曲目。此后发行了原创单曲，并通过现场演出和数字平台积累了听众群体。,https://www.google.com/search?q=%E5%A7%9A%E6%99%93%E6%A3%A0+(Yao+Xiaotang)+singer+biography
孙天宇 (Sun Tianyu),China,singer,"Chinese singer and musical theater performer with a clear tenor voice and emotive delivery. Active since the late 2010s, he has performed in major Chinese musical productions and contributed to television soundtracks. His music blends pop, musical theater, and ballad styles.",中国歌手及音乐剧演员，嗓音清亮、情感充沛。自2010年代末期起活跃，曾参演中国大型音乐剧作品并为电视剧献唱原声带。音乐融合流行、音乐剧及抒情风格。,https://www.google.com/search?q=%E5%AD%99%E5%A4%A9%E5%AE%87+(Sun+Tianyu)+singer+biography
孙燕姿 (Stefanie Sun),Singaporean,singer-songwriter,"Singaporean singer-songwriter who made her debut with the album Yan Zi in 2000. Her voice is clean, direct, and emotionally transparent. She became one of the most beloved Mandopop artists of the 2000s. Hits include ""Cloudy Day"" (2000), ""The Moment"" (2003), and ""Green Light"" (2007). She has won numerous Golden Melody Awards.",新加坡创作型歌手，2000年以专辑《孙燕姿》出道。嗓音干净、直接，情感表达透明而真挚，是2000年代最受欢迎的华语流行歌手之一。代表作包括《天黑黑》（2000）、《遇见》（2003）和《逆光》（2007）。多次获得金曲奖。,https://en.wikipedia.org/wiki/Stefanie_Sun
孙瑄阳Xtina (Sun Xuanyang Xtina),China,singer,"Chinese singer and rapper. Her style is bold and energetic, spanning hip-hop, pop, and R&B. She gained recognition in the late 2010s through online platforms and has since released original singles that showcase her confident delivery and catchy melodies.",中国歌手及说唱歌手，风格大胆而充满活力，横跨嘻哈、流行及R&B。2010年代末期通过线上平台获得关注，此后发行了原创单曲，展现其自信的表达和抓耳的旋律。,https://www.google.com/search?q=%E5%AD%99%E7%91%84%E9%98%B3Xtina+(Sun+Xuanyang+Xtina)+singer+biography
孟慧圆 (Meng Huiyuan),China,singer,"Chinese singer-songwriter who gained recognition through The Voice of China in 2016. Her voice is warm and husky, with a folk-pop style. Her music features introspective, emotionally honest lyrics. She has released multiple original singles and EPs since her debut.",中国创作型歌手，2016年因参加《中国好声音》而获得关注。嗓音温暖、略带沙哑，风格偏向民谣流行。音乐常包含内省而真挚的歌词。出道以来已发行多首原创单曲及EP。,https://www.google.com/search?q=%E5%AD%9F%E6%85%A7%E5%9C%86+(Meng+Huiyuan)+singer+biography
宝石Gem (Gem),China,singer,"Chinese rapper and singer. His style is energetic and narrative-driven hip-hop. He gained mainstream recognition in 2019 with his viral hit ""Old Iron's Love"", which became a cultural phenomenon. His music often incorporates Northeastern Chinese folk elements and humorous storytelling.",中国说唱歌手及歌手，风格充满活力，以叙事型嘻哈见长。2019年以热门单曲《野狼Disco》获得主流关注，该曲成为文化现象级作品。其音乐常融入东北民间元素和幽默的故事叙述。,https://www.google.com/search?q=%E5%AE%9D%E7%9F%B3Gem+(Gem)+singer+biography
小时姑娘 (Xiaoshi Guniang),China,singer,"Chinese singer prominent in the gufeng and fantasy music scene since the 2010s. Her voice is ethereal and flowing, well-suited to xianxia and wuxia-themed storytelling. She has contributed to numerous game soundtracks, character songs, and online music projects.",中国歌手，自2010年代以来活跃于古风与玄幻音乐圈。嗓音空灵流畅，特别适合仙侠和武侠题材的故事叙述。曾为多部游戏配乐、角色歌曲及线上音乐项目献声。,https://www.google.com/search?q=%E5%B0%8F%E6%97%B6%E5%A7%91%E5%A8%98+(Xiaoshi+Guniang)+singer+biography
小霞 (Xiao Xia),China,singer,"Chinese singer known for her soulful, powerful vocal style and emotionally charged ballads. Active since the 2010s, she has released albums under the name Xiao Xia, including the critically acclaimed Xiao Xia (2015) and Xiao Xia 2 (2021). Her voice is characterized by its rich tone and technical precision.",中国歌手，嗓音深情而充满力量，擅长情感充沛的抒情歌曲。自2010年代以来活跃，以小霞为名发行专辑，包括广受好评的《小霞》（2015）和《小霞2.0》（2021）。音色丰富、技术精准。,https://www.google.com/search?q=%E5%B0%8F%E9%9C%9E+(Xiao+Xia)+singer+biography
尤长靖 (You Zhangjing),China,singer,"Malaysian-born Chinese singer who rose to fame as a member of NINE PERCENT in 2018. His voice is a powerful tenor, and his style is emotional ballads. He has since launched a solo career with hits including ""Our Time"" and numerous drama soundtracks.",马来西亚出生、活跃于中国的歌手，2018年因在生存类选秀节目《偶像练习生》中以第九名出道，成为男团NINE PERCENT成员而走红。拥有一副富有力量的男高音，擅长情感充沛的抒情风格。此后开展个人事业，代表作包括《我们的时光》及多部电视剧原声带。,https://baike.baidu.com/item/%E5%B0%A4%E9%95%BF%E9%9D%96/22375735
崔迪 (Cui Di),China,singer,"Chinese singer and producer. Her voice is soulful and jazz-infused, and her music blends pop, R&B, and jazz elements. Active since the 2010s, she has released original singles and EPs. She has also worked as a producer and arranger for other artists.",中国歌手及制作人，嗓音深情，融入爵士元素，音乐融合流行、R&B和爵士风格。自2010年代以来活跃，发行了原创单曲及EP。同时也为其他艺人担任制作人和编曲，在音乐行业中树立了多才多艺的形象。,https://www.google.com/search?q=%E5%B4%94%E8%BF%AA+(Cui+Di)+singer+biography
希林娜依高 (Curley G),Chinese,singer-songwriter,"Chinese singer-songwriter with a bright, flexible voice blending pop and R&B. She rose to fame in 2020 as the center of BonBon Girls 303 on Produce Camp 2020. She has since launched a solo career with hits including ""Love, Existence"" and contributed to major drama soundtracks.",中国创作型歌手，嗓音明亮而富有弹性，融合流行与R&B元素。2020年在《创造营2020》中以第一名出道，成为女团硬糖少女303的中心位，一举成名。此后开展个人事业，代表作包括《爱存在》及多部大型电视剧原声带。,https://en.wikipedia.org/wiki/Curley_G
张信哲 (Jeff Chang),Taiwanese,singer,"Taiwanese singer with a pure, tender tenor voice and sentimental ballads that defined Mandopop romance since the late 1980s. Dubbed the ""Prince of Love Songs"", he has released numerous classic hits including ""Love Is Like a Tide"" (1989) and ""Faith"" (1994). His music features emotional sincerity, elegant phrasing, and timeless melodic appeal.","台湾歌手，拥有一副纯净温柔的男高音，擅长伤感抒情歌曲，自1980年代末期定义了华语流行乐的浪漫风格。被誉为情歌王子""，发行了众多经典金曲，包括《爱如潮水》（1989）和《信仰》（1994）。音乐真挚动人、乐句优雅，旋律具有跨越时代的魅力。""",https://en.wikipedia.org/wiki/Jeff_Chang_(singer)
张敬轩 (Hins Cheung),Hong Kong,singer-songwriter,"Hong Kong singer-songwriter who made his debut with Hins' First in 2001. His voice is smooth and expressive, with R&B-infused Cantopop. He has released numerous albums and won multiple music awards in Hong Kong. Hits include ""Hurt No One"" and ""Puberty"". He is also a sought-after producer and arranger.",香港创作型歌手，2001年以专辑《Hins' First》出道。嗓音流畅而富有表现力，风格为融入R&B元素的粤语流行。发行了多张专辑并多次获得香港音乐奖项。代表作包括《断点》和《青春常驻》。也是备受欢迎的制作人和编曲家。,https://en.wikipedia.org/wiki/Hins_Cheung
张星特 (Zhang Xingte),China,singer,"Chinese singer who gained recognition through Produce Camp 2021. His voice is youthful and emotive, with a pop ballad sensibility. He has released original singles and built a dedicated following through social media and streaming platforms.",中国歌手，2021年因参加生存类选秀节目《创造营2021》而获得关注。嗓音青春感十足、情感充沛，风格偏向流行抒情。此后发行了原创单曲，并通过社交媒体和流媒体平台积累了忠实的听众群体。,https://www.google.com/search?q=%E5%BC%A0%E6%98%9F%E7%89%B9+(Zhang+Xingte)+singer+biography
张栋梁 (Nicholas Teo),Malaysian,singer,"Malaysian Chinese singer who rose to fame in the mid-2000s with his warm, gentle vocal style and romantic ballads. His hit ""When You're Lonely, Who Will I Be"" became a signature track across Southeast Asia and Greater China. He has released multiple albums and pursued an acting career in Taiwanese dramas.",马来西亚华裔歌手，2000年代中期以温暖温柔的嗓音和浪漫情歌走红。代表作《当你孤单你会想起谁》成为东南亚及大中华区的经典曲目。已发行多张专辑，并在台湾偶像剧中发展演艺事业。,https://en.wikipedia.org/wiki/Nicholas_Teo
张碧晨 (Diamond Zhang),Chinese,singer,"Chinese singer who won The Voice of China in 2014, the show's first female winner. Her voice is husky and soulful, with emotionally charged ballads. She has become one of the most sought-after singers for Chinese television drama soundtracks. Hits include ""A Little Bit"" and numerous hit drama themes.",中国歌手，2014年获得《中国好声音》年度总冠军，成为该节目首位女性冠军。嗓音沙哑而深情，擅长情感充沛的抒情歌曲，此后成为中国电视剧原声带最受欢迎的歌手之一。代表作包括《年轮》及多部热播剧主题曲。,https://en.wikipedia.org/wiki/Zhang_Bichen
张远 (Bird Zhang),China,singer,"Chinese singer and member of Top Combine formed in 2007. His voice is clear and powerful, with emotional delivery. He released solo hits including ""By My Side"" and gained renewed recognition through Call Me by Fire in 2022. His music spans ballads, dance-pop, and rock.",中国歌手，2007年作为男团至上励合成员出道。嗓音清亮富有力量，情感表达充沛，个人代表作包括《棉花糖》，2022年通过参加《披荆斩棘的哥哥》重新获得关注。音乐涵盖抒情、舞曲流行及摇滚风格。,https://www.google.com/search?q=%E5%BC%A0%E8%BF%9C+(Bird+Zhang)+singer+biography
张郁梓 (Zhang Yuzi),China,singer,"Chinese singer and actress who gained recognition in the early 2020s through musical competition shows. Her voice is clear and youthful, with a pop and ballad style. She has released original singles and performed in musical productions.",中国歌手及演员，2020年代初期通过参加音乐竞演节目而获得关注。嗓音清亮、充满青春活力，音乐偏向流行及抒情风格。此后发行了原创单曲并参演音乐剧作品。,https://www.google.com/search?q=%E5%BC%A0%E9%83%81%E6%A2%93+(Zhang+Yuzi)+singer+biography
张钰琪 (Zhang Yuqi),China,singer,"Chinese singer who won The Coming One: Girls in 2019. Her voice is deep and husky, and her style is singer-songwriter folk-pop with introspective, poetic lyrics. She has released multiple original singles since her debut.",中国歌手，2019年获得女性音乐选秀节目《明日之子水晶时代》冠军而走红。嗓音低沉、略带沙哑，风格为创作型民谣流行，歌词内省而富有诗意。出道以来已发行多首原创单曲。,https://www.google.com/search?q=%E5%BC%A0%E9%92%B0%E7%90%AA+(Zhang+Yuqi)+singer+biography
